ID,Marital status,Gender, Income ,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age_Bracket,Purchased Bike
12496,Maried,Female," $40,000 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,31,Middle Age,No
24107,Maried,M," $30,000 ",3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,Middle Age,No
14177,Maried,M," $80,000 ",5,Partial College,Professional,No,2,2-5 Miles,Europe,60,Old,No
24381,Single,M," $70,000 ",0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,Middle Age,Yes
25597,Single,M," $30,000 ",0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Middle Age,Yes
13507,Maried,Female," $10,000 ",2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,Middle Age,No
27974,Single,M," $160,000 ",2,High School,Management,Yes,4,0-1 Miles,Pacific,33,Middle Age,Yes
19364,Maried,M," $40,000 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Middle Age,Yes
22155,Maried,M," $20,000 ",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,Old,No
19280,Maried,M," $120,000 ",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,Middle Age,Yes
22173,Maried,Female," $30,000 ",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,Middle Age,Yes
12697,Single,Female," $90,000 ",0,Bachelors,Professional,No,4,More than 10 miles,Pacific,36,Middle Age,No
11434,Maried,M," $170,000 ",5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,Middle Age,No
25323,Maried,M," $40,000 ",2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Middle Age,Yes
23542,Single,M," $60,000 ",1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Middle Age,Yes
20870,Single,Female," $10,000 ",2,High School,Manual,Yes,1,0-1 Miles,Europe,38,Middle Age,Yes
23316,Single,M," $30,000 ",3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,Old,Yes
12610,Maried,Female," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle Age,No
27183,Single,M," $40,000 ",2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Middle Age,Yes
25940,Single,M," $20,000 ",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Middle Age,Yes
25598,Maried,Female," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,Middle Age,Yes
21564,Single,Female," $80,000 ",0,Bachelors,Professional,Yes,4,More than 10 miles,Pacific,35,Middle Age,No
19193,Single,M," $40,000 ",2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,Middle Age,Yes
26412,Maried,Female," $80,000 ",5,High School,Management,No,3,5-10 Miles,Europe,56,Old,No
27184,Single,M," $40,000 ",2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,Middle Age,No
12590,Single,M," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,Old,No
17841,Single,M," $30,000 ",0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolecent,Yes
18283,Single,Female," $100,000 ",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,Middle Age,No
18299,Maried,M," $70,000 ",5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,Middle Age,No
16466,Single,Female," $20,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Middle Age,Yes
19273,Maried,Female," $20,000 ",2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,Old,No
22400,Maried,M," $10,000 ",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolecent,Yes
20942,Single,Female," $20,000 ",0,High School,Manual,No,1,5-10 Miles,Europe,31,Middle Age,No
18484,Single,M," $80,000 ",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Middle Age,Yes
12291,Single,M," $90,000 ",5,Partial College,Professional,No,2,2-5 Miles,Europe,62,Old,Yes
28380,Single,Female," $10,000 ",5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,Middle Age,No
17891,Maried,Female," $10,000 ",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,Middle Age,Yes
27832,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,Adolecent,No
26863,Single,M," $20,000 ",0,High School,Manual,No,1,2-5 Miles,Europe,28,Adolecent,No
16259,Single,Female," $10,000 ",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Middle Age,Yes
27803,Single,Female," $30,000 ",2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,Middle Age,No
14347,Single,Female," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Old,Yes
17703,Maried,Female," $10,000 ",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,Middle Age,No
17185,Maried,Female," $170,000 ",4,Partial College,Professional,No,3,5-10 Miles,Europe,48,Middle Age,Yes
29380,Maried,Female," $20,000 ",3,High School,Manual,Yes,0,0-1 Miles,Europe,41,Middle Age,Yes
23986,Maried,Female," $20,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Old,Yes
24466,Maried,Female," $60,000 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Middle Age,Yes
29097,Single,Female," $40,000 ",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle Age,Yes
19487,Maried,M," $30,000 ",2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,Middle Age,No
14939,Single,M," $40,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Middle Age,Yes
13826,Single,Female," $30,000 ",0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,Adolecent,No
20619,Single,M," $80,000 ",0,Bachelors,Professional,No,4,More than 10 miles,Pacific,35,Middle Age,No
12558,Maried,Female," $20,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Old,No
24871,Single,Female," $90,000 ",4,High School,Management,No,3,5-10 Miles,Europe,56,Old,No
17319,Single,Female," $70,000 ",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,Middle Age,No
28906,Maried,M," $80,000 ",4,High School,Professional,Yes,2,More than 10 miles,Europe,54,Middle Age,No
12808,Maried,M," $40,000 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Age,Yes
20567,Maried,M," $130,000 ",4,Partial College,Professional,No,4,5-10 Miles,Europe,61,Old,Yes
25502,Maried,Female," $40,000 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Middle Age,Yes
15580,Maried,M," $60,000 ",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Middle Age,Yes
24185,Single,Female," $10,000 ",1,High School,Manual,No,1,1-2 Miles,Europe,45,Middle Age,No
19291,Single,Female," $10,000 ",2,High School,Manual,Yes,0,0-1 Miles,Europe,35,Middle Age,No
16713,Maried,M," $40,000 ",2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,Middle Age,Yes
16185,Single,M," $60,000 ",4,Bachelors,Professional,Yes,3,More than 10 miles,Pacific,41,Middle Age,No
14927,Maried,Female," $30,000 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
29337,Single,M," $30,000 ",2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,Old,No
29355,Maried,Female," $40,000 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
25303,Single,M," $30,000 ",0,High School,Manual,Yes,1,2-5 Miles,Europe,33,Middle Age,Yes
14813,Single,Female," $20,000 ",4,High School,Manual,Yes,1,0-1 Miles,Europe,43,Middle Age,Yes
16438,Maried,Female," $10,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,Adolecent,No
14238,Maried,M," $120,000 ",0,Partial High School,Professional,Yes,4,More than 10 miles,Pacific,36,Middle Age,Yes
16200,Single,Female," $10,000 ",0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,Middle Age,No
24857,Maried,Female," $130,000 ",3,High School,Professional,Yes,4,0-1 Miles,Europe,52,Middle Age,No
26956,Single,Female," $20,000 ",0,Partial College,Manual,No,1,2-5 Miles,Europe,36,Middle Age,Yes
14517,Maried,Female," $20,000 ",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,Old,No
12678,Single,Female," $130,000 ",4,High School,Management,Yes,4,0-1 Miles,Pacific,31,Middle Age,No
16188,Single,Female," $20,000 ",0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,Adolecent,No
27969,Maried,M," $80,000 ",0,Bachelors,Professional,Yes,2,More than 10 miles,Pacific,29,Adolecent,Yes
15752,Maried,M," $80,000 ",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Middle Age,Yes
27745,Single,M," $40,000 ",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,Old,Yes
20828,Maried,Female," $30,000 ",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Middle Age,Yes
19461,Single,Female," $10,000 ",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Middle Age,No
